LEXAPRO 10MG COMPRIMIDOS,LUNDBECK BRASIL LTDA,2273017,2,4894,130-10041/2011,29/09/2011,Fortaleza/ CE
LEXAPRO 10MG COMPRIMIDOS,LUNDBECK BRASIL LTDA,2214290,3,13889,XXXXXX,17/11/2010,Belo Horizonte/ MG
LEXAPRO 10MG COMPRIMIDOS,,,,,,,
"",,2229680,100,1777,4096/2011,08/03/2011,Porto Alegre/RS
AG,LUNDBECK BRASIL LTDA,,,,,,
LEXAPRO 10MG GOTAS,LUNDBECK BRASIL LTDA,J1A86,12,10248,11I0319039742,17/06/2011,Jaboatã dos Guararapes/ PE
LEXAPRO 10MG GOTAS,LUNDBECK BRASIL LTDA,G3C79,2,8287,137/2011,30/06/2011,São Paulo/ SP
LEXAPRO 15 MG 14 COMP AG,LUNDBECK BRASIL LTDA.,2229395,322,1777,4096/2011,18/05/2011,Porto Alegre - RS
LEXAPRO 15MG 14 COMP,LUNDBECK BRASIL LTDA,2229407,48,13339,125834/2011,27/07/2011,Viana/ ES
LEXAPRO 15MG 28 COMP,LUNDBECK BRASIL LTDA,2228555,180,13339,125834/2011,27/07/2011,Viana/ ES
LEXAPRO 15MG 28 COMP,LUNDBECK BRASIL LTDA,2270867,180,4000,4017/2011,19/07/2011,São Paulo/ SP
LEXAPRO 15MG COMPRIMIDOS,LUNDBECK BRASIL LTDA,2280614,180,5440,5994/2012,09/09/2011,Cariacica/ES
LEXAPRO 15MG COMPRIMIDOS,,,,,,,
"",,2229395,322,1777,4096/2011,08/03/2011,Porto Alegre/RS
AG,LUNDBECK BRASIL LTDA,,,,,,
LEXAPRO 20 MG GOTAS AG,LUNDBECK BRASIL LTDA.,2231681,8,1777,4096/2011,18/05/2011,Porto Alegre - RS
LEXAPRO 20MG 14 COMP,LUNDBECK BRASIL LTDA,2163408,11,8287,137/2011,30/06/2011,São Paulo/ SP
LEXAPRO 20MG 28 COMP,LUNDBECK BRASIL LTDA,2190884,3,8287,137/2011,30/06/2011,São Paulo/ SP
LEXAPRO 20MG 28 COMP,LUNDBECK BRASIL LTDA,2209896,4,12650,137/2011,30/06/2011,São Paulo/ SP
LEXAPRO 20MG 28 COMP,LUNDBECK BRASIL LTDA,2270866,24,4000,4017/2011,19/07/2011,São Paulo/ SP
LEXAPRO 20MG GOTAS AG,LUNDBECK BRASIL LTDA,2231681,8,1777,4096/2011,08/03/2011,Porto Alegre/RS
LEXOTAN 3MG 20 COMP,PRODUTOS ROCHE QUÍMICOS E,,,,941637 Comunicação,,
(BROMAZEPAM),FARMACÊUTICOS S.A,RJ0713,84,86251,C1057529,16/07/2011,RESSAQUINHA - MG
"",,,,,,,Itinerário entre a
"",,,,,,,Transportadora Rapidão
"",,RJ0680,4,54888,Declaração de Sinistro,05/10/2011,
LEXOTAN 3MG 20 COMP,,,,,,,Cometa - Recife - PE ao site
(BROMAZEPAM),PRODUTOS ROCHE,,,,,,de Distribuição Roche - GO
"",,,Quantidade Roubada/,,,Data do roubo,
Medicamento,Empresa,No lote,Furtada/Extraviada,No Nota Fiscal,No Boletim de Ocorrência,ou extravio,Local do roubo ou extravio
"",,,,,,,Itinerário entre a
"",,,,,,,Transportadora Rapidão
"",,RJ0534,1,61782,Declaração de Sinistro,05/10/2011,
LEXOTAN 6MG 30 COMP,,,,,,,Cometa - Recife - PE ao site
(BROMAZEPAM),PRODUTOS ROCHE,,,,,,de Distribuição Roche - GO
LEXPRO 10MG,LUNDBECK BRASIL LTDA.,2201688,1,10365,059-16182/2010,27/11/2010,Duque de Caxias - RJ
"",DEG IMPORTAÇÃO DE PROD.,,,,,,
LIDOCAINA CLORIDRATO,,LHB/26/11-12,"400,00 kg",,10696/2011,26/11/2011,SÃO PAULO - SP
"",QUIMICOS LTDA,,,,,,
"",DEG IMPORTAÇÃO DE PROD.,,,,,,
LIDOCAINA LHB/25,,LBH/25,"19,03kg",,10696/2011,26/11/2011,SÃO PAULO - SP
"",QUIMICOS LTDA,,,,,,
LINDOPASS 50 MGG LARANJA POM,CIMED INDÚSTRIA DE,,,,,,
BG 25 G,MEDICAMENTOS LTDA,1103756,12,159049,970929,30/08/2011,Carté-MG
LIPIDIL200MG - CX C/ 30,,,,,,,
"",,115466A,16,78372,02898/1918/2011,29/11/2011,ROD. BR 101 - MACAÉ - RJ
CAPSULAS,CHIESI FARMACÊUTICA LTDA,,,,,,
LIPITOR 10MG x 14 VENEZUELA,LABORATÓRIOS PFIZER LTDA.,00437 040N,57.134,21201,1433/2011,24/03/2011,Campinas - SP
LIPITOR 10MG x 14 VENEZUELA,LABORATÓRIOS PFIZER LTDA.,00437 040N,57134,21201,1433/2011,24/03/2011,Campinas - SP
LIPITOR 10MG X 30 COMP,LABORATÓRIOS PFIZER LTDA.,00437 042H,,186706,2011/09910.0-000145,27/08/2011,Japaratuba - SE
LIPITOR 10MG x 30 EQUADOR,LABORATÓRIOS PFIZER LTDA.,00437 040K,7.509,21198,1433/2011,24/03/2011,Campinas - SP
LIPITOR 10MG x 30 EQUADOR,LABORATÓRIOS PFIZER LTDA.,00437 040K,7509,21198,1433/2011,24/03/2011,Campinas - SP
LONGACTIL 100 MG COM. REV. 20,CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
BL X 10,FARMACÊUTICOS LTDA.,11031955,3 cxs,0443223,447/2011,03/05/2011,Registro - SP
LONGACTIL 25 MG COM. REV. 20 BL,CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
X 10,FARMACÊUTICOS LTDA.,10118132,1 cx,0443223,447/2011,03/05/2011,Registro - SP
LONGACTIL 40 MG/ML SOL. ORAL -,CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
10 FR X 20 ML,FARMACÊUTICOS LTDA.,10118375,2 cxs,0443976,447/2011,03/05/2011,Registro - SP
LONGACTIL 5 MG/ML SOL INJ - 50,CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
AMP X 5 ML,FARMACÊUTICOS LTDA.,10118031,1 cx,0443223,447/2011,03/05/2011,Registro - SP
LONGACTIL 5 MG/ML SOL. INJ - 50,CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
AMP X 5 ML,FARMACÊUTICOS LTDA.,10118031,20 cxs,0443976,447/2011,03/05/2011,Registro - SP
LOPID 600MG X 24 COMP,LABORATÓRIOS PFIZER LTDA.,10428 001,,186705,2011/09910.0-000145,27/08/2011,Japaratuba - SE
"",CIMED INDÚSTRIA DE,,,,,,
LORATADINA 1mg/ml FR 100ml,MEDICAMENTOS LTDA,3183/09,1,3964,555/2011,23/02/2011,São Paulo - SP
"",CIMED INDÚSTRIA DE,,,,,,
LORATAMED 1 MG/ML FR. 100 ML,MEDICAMENTOS LTDA,5103/10,60,132167,F410223030850-2011,23/03/2011,João Monlevade - MG
"",,,,,,,Rua Refinaria Gabriel
"",CIMED Indústria de Medicamentos,,,,,,"Passos, 437,"
"",,163513,30,,2011-1380465,21/10/2011,
LORATAMED 1 MG/ML XPE. FR 100,Ltda,,,,,,Petrolândia –
ML,,,,,,,Contagem/MG
"",CIMED INDÚSTRIA DE,,,,,,
LORATAMED 10 MG COMP  1 X 12,MEDICAMENTOS LTDA,11A0288,250,132177,F410223030850-2011,23/03/2011,João Monlevade - MG
"",CIMED INDÚSTRIA DE,,,,,,
LORATAMED 10 MG COMP  1 X 12,MEDICAMENTOS LTDA,4803/10,2500,132642,F410223030850-2011,23/03/2011,João Monlevade - MG
"",CIMED INDÚSTRIA DE,,,,,,
LORATAMED 10 MG COMP  1 X 12,MEDICAMENTOS LTDA,11A0288,400,132167,F410223030850-2011,23/03/2011,João Monlevade - MG
"",CIMED INDÚSTRIA DE,,,,,,
LORATAMED 10 MG COMP 1 BL X 12,MEDICAMENTOS LTDA,1103694,20,158922,970929,30/08/2011,Carté-MG
LORATAMED 10 MG COMP 1,CIMED INDÚSTRIA DE,,,,,,
BL X 12,MEDICAMENTOS LTDA,1103694,30,159036,970929,30/08/2011,Carté-MG
LORATAMED 1MGML XPE FR,CIMED INDÚSTRIA DE,,,,,,
100 ML,MEDICAMENTOS LTDA,1103616,30,159036,970929,30/08/2011,Carté-MG
Medicamento,Empresa,No lote,"Quantidade Roubada/Furtada/Extraviada",No Nota Fiscal,No Boletim de Ocorrência,"Data do rouboou extravio",Local do roubo ou extravio
LORATEMED 1MGML XPE FR 100 ML,"CIMED INDÚSTRIA DEMEDICAMENTOS LTDA",1102827,20,158922,970929,30/08/2011,Carté-MG
LOVASTATINA 10MG 30TAB BR,SANDOZ DO BRASIL IND. FARM.,BS8545AA,10,"51652, 51879,51878, 51877,51993, 51997,51974, 51972,52059",02898/1918/2011,29/11/2011,MACAÉ - RJ
"LOXONIN  60 MG - BLÍSTER 30COMP.","DAIICHI SANKYO BRASILFARMACEUTICA LTDA",10133,36,26013,64/2011,16/07/2011,Professor Jamil - GO
"LOXONIN 60 MG  - BLÍSTER 30COMP.","DAIICHI SANKYO BRASILFARMACEUTICA LTDA",00619,18,26010,64/2011,16/07/2011,Professor Jamil - GO
LOXONIN 60 MG - BLÍSTER 15,"DAIICHI SANKYO BRASILFARMACEUTICA LTDA",10133,18,25989,64/2011,16/07/2011,Professor Jamil - GO
"LOXONIN 60 MG - BLÍSTER 15COMP.","DAIICHI SANKYO BRASILFARMACEUTICA LTDA",10133,36,26010,64/2011,16/07/2011,Professor Jamil - GO
"LOXONIN 60 MG - BLÍSTER 15COMP.","DAIICHI SANKYO BRASILFARMACEUTICA LTDA",10133,36,26016,64/2011,16/07/2011,Professor Jamil - GO
"LOXONIN 60 MG - BLÍSTER 15COMP.","DAIICHI SANKYO BRASILFARMACEUTICA LTDA",10133,72,26023,64/2011,16/07/2011,Professor Jamil - GO
LOXONIN 60 MG - BLÍSTER 30,"DAIICHI SANKYO BRASILFARMACEUTICA LTDA",619,18,25989,64/2011,16/07/2011,Professor Jamil - GO
"LOXONIN 60 MG - BLÍSTER 30COMP.","DAIICHI SANKYO BRASILFARMACEUTICA LTDA",00619,18,26013,64/2011,16/07/2011,Professor Jamil - GO
"LOXONIN 60 MG - BLÍSTER 30COMP.","DAIICHI SANKYO BRASILFARMACEUTICA LTDA",00619,18,26019,64/2011,16/07/2011,Professor Jamil - GO
"LOXONIN 60 MG - BLÍSTER 30COMP.","DAIICHI SANKYO BRASILFARMACEUTICA LTDA",00619,18,26023,64/2011,16/07/2011,Professor Jamil - GO
"","DAIICHI SANKYO BRASILFARMACEUTICA LTDA",,,,,,
LOXONIN 60 MG 15 COMP.,10133,18,26007,64/2011,16/07/2011,Professor Jamil - GO,
LYRICA 150MG X 28 COMP,LABORATÓRIOS PFIZER LTDA.,981011,,186707,2011/09910.0-000145,27/08/2011,Japaratuba - SE
"MABTHERA 500mg 50ml(RITUXIMABE)","PRODUTOS ROCHE QUÍMICOS EFARMACÊUTICOS S.A",B6141B01,1,69641,70/2001,05/01/2011,Jandira - SP
MAGNAZIA SUP. OR. FR. 240ML,"CIMED Indústria de MedicamentosLtda",163521,6,,2011-1380465,21/10/2011,"Rua Refinaria GabrielPassos, 437,Petrolândia –Contagem/MG"
MAGNAZIA SUSP. OR. FR. 240ML,"CIMED Indústria de MedicamentosLtda",163524,12,,2011-1380465,21/10/2011,"Rua Refinaria GabrielPassos, 437,Petrolândia –Contagem/MG"
MAGNEN B6,"MARJAN INDÚSTRIA E COMÉRCIOLTDA",11014374,100,26672,REDS 2011-000272934-001,14/02/2011,Governador Valadares - MG
MAGNESIA BISURADA 200 PAST,"WYETH INDÚSTRIAFARMACÊUTICA LTDA",70141,24,18044,89368,14/02/2011,Governador Valadares - MG
MAGNESIA BISURADA 200 PAST,"WYETH INDÚSTRIAFARMACÊUTICA LTDA",70600,48,18051,89368,14/02/2011,Governador Valadares - MG
MAGNESIA BISURADA 200 PAST,"WYETH INDÚSTRIAFARMACÊUTICA LTDA",71086,108,18051,89368,14/02/2011,Governador Valadares - MG
MAGNESIA BISURADA 200 PAST,"WYETH INDÚSTRIAFARMACÊUTICA LTDA",71141,144,18052,89368,14/02/2011,Governador Valadares - MG
"",,,Quantidade Roubada/,,,Data do roubo,
Medicamento,Empresa,No lote,Furtada/Extraviada,No Nota Fiscal,No Boletim de Ocorrência,ou extravio,Local do roubo ou extravio
"",WYETH INDÚSTRIA,,,,,,
MAGNESIA BISURADA 200 PAST,FARMACÊUTICA LTDA,70141,192,18055,89368,14/02/2011,Governador Valadares - MG
"",WYETH INDÚSTRIA,,,,,,
MAGNESIA BISURADA 200 PAST,FARMACÊUTICA LTDA,71086,96,18140,89368,14/02/2011,Governador Valadares - MG
"",WYETH INDÚSTRIA,,,,,,
MAGNESIA BISURADA 200 PAST,FARMACÊUTICA LTDA,71086,12,18143,89368,14/02/2011,Governador Valadares - MG
"",WYETH INDUSTRIA,,,,,,
MAGNESIA BISURADA 200 PAST,,75479,204,25251,"5,82011E+11",29/11/2011,DECARGA - BA
"",FARMACEUTICA LTDA,,,,,,
"",,,,,,,CONCEIÇÃO DO JACUIPE -
MAGNÉSIA BISURADA 200 PAST,WYETH IND. FARMACÊUTICA,75479,204,25251,582011000380,29/11/2011,BA
"",WYETH INDÚSTRIA,,,,,,
MAGNESIA BISURADA 40 PAST,FARMACÊUTICA LTDA,70598,72,18044,89368,14/02/2011,Governador Valadares - MG
"",WYETH INDÚSTRIA,,,,,,
MAGNESIA BISURADA 40 PAST,FARMACÊUTICA LTDA,70599,360,18051,89368,14/02/2011,Governador Valadares - MG
"",WYETH INDÚSTRIA,,,,,,
MAGNESIA BISURADA 40 PAST,FARMACÊUTICA LTDA,70598,288,18052,89368,14/02/2011,Governador Valadares - MG
"",WYETH INDÚSTRIA,,,,,,
MAGNESIA BISURADA 40 PAST,FARMACÊUTICA LTDA,70599,108,18055,89368,14/02/2011,Governador Valadares - MG
"",WYETH INDÚSTRIA,,,,,,
MAGNESIA BISURADA 40 PAST,FARMACÊUTICA LTDA,70598,252,18055,89368,14/02/2011,Governador Valadares - MG
"",WYETH INDÚSTRIA,,,,,,
MAGNESIA BISURADA 40 PAST,FARMACÊUTICA LTDA,70029,144,18145,89368,14/02/2011,Governador Valadares - MG
"",WYETH INDUSTRIA,,,,,,
MAGNESIA BISURADA 40 PAST,,74423,36,23031,5911/2011,19/09/2011,ITAPEVI - SP
"",FARMACEUTICA LTDA,,,,,,
"",WYETH INDUSTRIA,,,,,,
MAGNESIA BISURADA 40 PAST,,75491,252,25251,"5,82011E+11",29/11/2011,DECARGA - BA
"",FARMACEUTICA LTDA,,,,,,
MAGNÉSIA BISURADA 40 PAST,WYETH IND. FARMACÊUTICA,74423,36,23031,5911/2011,19/09/2011,ITAPEVI - SP
"",,,,,,,CONCEIÇÃO DO JACUIPE -
MAGNÉSIA BISURADA 40 PAST,WYETH IND. FARMACÊUTICA,75491,252,25251,582011000380,29/11/2011,BA
MANIVASC10MG - CX C/14 COMP.,,111274B,24,78372,02898/1918/2011,29/11/2011,ROD. BR 101 - MACAÉ - RJ
"",CHIESI FARMACÊUTICA LTDA,,,,,,
MAREVAN 5MG C/ 10 COMP,FARMOQUÍMICCA S/A,110207,192,38323,002853/11,01/08/2011,Campina Grande - PB
MAREVAN 5MG C/ 30 COMP,FARMOQUÍMICCA S/A,110278,96,38339,002853/11,01/08/2011,Campina Grande - PB
"",,,,,,,VITÓRIA DA CONQUISTA -
"",,1108731,48,40786,1002011022173/11,16/12/2011,
MATERFOLIC 5 MG 15 COMP AG,FARMACOQUÍMICA,,,,,,BA
"",LATINOFARMA INDÚSTRIAS,,,,,,
MAXBELL 10 ML,FARMACÊUTICAS LTDA,11.098,12,81.587,2041/2011,20/07/2011,São Paulo/SP
"",LATINOFARMA INDÚSTRIAS,,,,,,
MAXIBELL 10ml,FARMACÊUTICAS LTDA,10391,24,75916,89368,14/02/2011,Governador Valadares - MG
"",LATINOFARMA INDÚSTRIAS,,,,,,
MAXIFLOX 5 ML,FARMACÊUTICAS LTDA,11.073,12,81.586,2041/2011,20/07/2011,São Paulo/SP
"",LATINOFARMA INDÚSTRIAS,,,,,,
"MAXIFLOX-D 3,5 gramas",FARMACÊUTICAS LTDA,10400,12,75915,89368,14/02/2011,Governador Valadares - MG
"",LATINOFARMA INDÚSTRIAS,,,,,,
MAXIFLOX-D 5ml (colírio),FARMACÊUTICAS LTDA,10371,12,75915,89368,14/02/2011,Governador Valadares - MG
"",LATINOFARMA INDÚSTRIAS,,,,,,
MAXILERG 15ml,FARMACÊUTICAS LTDA,10433,12,75915,89368,14/02/2011,Governador Valadares - MG
"",LATINOFARMA INDÚSTRIAS,,,,,,
MAXILERG 5 ML,FARMACÊUTICAS LTDA,11.22,12,81.586,2041/2011,20/07/2011,São Paulo/SP
Medicamento,Empresa,No lote,"Quantidade Roubada/Furtada/Extraviada",No Nota Fiscal,No Boletim de Ocorrência,"Data do rouboou extravio",Local do roubo ou extravio
"MDBENIX 40 MGML SUS OR FR 10ML","CIMED INDÚSTRIA DEMEDICAMENTOS LTDA",1102375,50,158922,970929,30/08/2011,Carté-MG
MEBENDAZOL 20 MGML FR 30 ML,"CIMED INDÚSTRIA DEMEDICAMENTOS LTDA",1102090,50,159049,970929,30/08/2011,Carté-MG
"MEBENIX 400 MG COMP MAST 1 BLX 1","CIMED INDÚSTRIA DEMEDICAMENTOS LTDA",1103194,50,158922,970929,30/08/2011,Carté-MG
MEBENIX 400 MG COMP. 1 X 1,"CIMED Indústria de MedicamentosLtda",163425,4,,2011-1380465,21/10/2011,"Rua Refinaria GabrielPassos, 437,Petrolândia –Contagem/MG"
"MELOCOX  7,5MG 10CPR",Eurofarma Laboratórios Ltda,194474,72,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
MELOCOX 15MG 10CPR,Eurofarma Laboratórios Ltda,211227,216,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
MELOXICAM 15MG 10CPR,Eurofarma Laboratórios Ltda,211045,288,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
"MELOXICAM INJ 5AMP 1,5ML",Eurofarma Laboratórios Ltda,209963A,96,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
MEMÊ CREME 50 gr.,"CIMED INDÚSTRIA DEMEDICAMENTOS LTDA",3851/10,2,3964,555/2011,23/02/2011,São Paulo - SP
MEME CREME BG 50 G,"CIMED INDÚSTRIA DEMEDICAMENTOS LTDA",1103581,12,159049,970929,30/08/2011,Carté-MG
"MENTALOL UNG 12 PT X 12 G Caeté/ MGDISP","CIMED INDÚSTRIA DEMEDICAMENTOS LTDA",1103320,1,158998,970929,30/08/2011,Carté-MG
MENTALOL UNG 12 PT X 12 G DISP,"CIMED INDÚSTRIA DEMEDICAMENTOS LTDA",1103320,2,159049,970929,30/08/2011,Carté-MG
"MIDAZOLAM   5MG/5ML INJ CTC/5AMP (B1)","EUROFARMA LABORATÓRIOSLTDA.",202772B,34,25582,807/2011,18/10/2011,"Rodovia Arnaldo JulioMauerberg, 0 - Rural - NovaOdessa / SP"
"MIDAZOLAM 15MG/3ML INJ CTC/5AMP (B1)","EUROFARMA LABORATÓRIOSLTDA.",201231A,5,25582,807/2011,18/10/2011,"Rodovia Arnaldo JulioMauerberg, 0 - Rural - NovaOdessa / SP"
"MIDAZOLAM 50MG/10ML INJ CTC/5AMP (B1)","EUROFARMA LABORATÓRIOSLTDA.",206132C,22,25582,807/2011,18/10/2011,"Rodovia Arnaldo JulioMauerberg, 0 - Rural - NovaOdessa / SP"
"MIDAZOLAM MALEATO 15MG 30CPR(B1)",Eurofarma Laboratórios Ltda,213621,100,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
MINILAX 7BIS,Eurofarma Laboratórios Ltda,207451E,120,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
MINIMA COMP REV 60+15MCG (AG),"MEDLEY INDÚSTRIAFARMACEUTICA LTDA",10101448,39,41260,1647/2011,01/09/2011,Brasilandia-SP
MINIMA COMP REV 60+15MCG (AG),"SANOFI-AVENTIS COMERCIAL ELOGISTICA LTDA",10101448,39,41260,1649/2011,01/09/2011,"R MANUEL ANTONIOFONSECA, 3-BRASILANDIA -SP"
MIRTAZAPINA 30MG 28FCT BR,SANDOZ DO BRASIL IND. FARM.,BX6973,80,"51652, 51879,51878, 51877,51993, 51997,51974, 51972,52059",02898/1918/2011,29/11/2011,MACAÉ - RJ
Medicamento,Empresa,No lote,"Quantidade Roubada/Furtada/Extraviada",No Nota Fiscal,No Boletim de Ocorrência,"Data do rouboou extravio",Local do roubo ou extravio
MIRTAZAPINA 30MG 28FCT BR,SANDOZ DO BRASIL IND. FARM.,BX6973,15,"51652, 51879,51878, 51877,51993, 51997,51974, 51972,52059",02898/1918/2011,29/11/2011,MACAÉ - RJ
MIRTAZAPINA 30MG 28FCT BR,SANDOZ DO BRASIL IND. FARM.,BX6973,80,"51652, 51879,51878, 51877,51993, 51997,51974, 51972,52059",02898/1918/2011,29/11/2011,MACAÉ - RJ
MIRTAZAPINA 30MG 28FCT BR,SANDOZ DO BRASIL IND. FARM.,BX6973,240,"51652, 51879,51878, 51877,51993, 51997,51974, 51972,52059",02898/1918/2011,29/11/2011,MACAÉ - RJ
MIRUGELL 15 ML,"LATINOFARMA INDÚSTRIASFARMACÊUTICAS LTDA",10.352,12,81.587,2041/2011,20/07/2011,São Paulo/SP
MIRUGELL 5 ML,"LATINOFARMA INDÚSTRIASFARMACÊUTICAS LTDA",11.154,12,81.587,2041/2011,20/07/2011,São Paulo/SP
MOMETASONA FUROATO CR 20G,Eurofarma Laboratórios Ltda,208177A,80,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
"MORATUS COMP REV 20MG C/20(C1) (AGT)","MEDLEY INDÚSTRIAFARMACEUTICA LTDA",11061591,40,41251,1647/2011,01/09/2011,Brasilandia-SP
"MORATUS COMP REV 20MG C/20(C1) (AGT)","SANOFI-AVENTIS COMERCIAL ELOGISTICA LTDA",11061591,40,41251,1649/2011,01/09/2011,"R MANUEL ANTONIOFONSECA, 3-BRASILANDIA -SP"
MUD CR 10G,Eurofarma Laboratórios Ltda,208805A,100,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
"MULTIGRIP ENV 50X5G - MEL ELIMÃO","MULTILAB IND E COM DEPRODUTOS FARMACÊUTICOSLTDA",KF 0296,01Cx (12 Display/600 env.),34574,4774/2011,05/09/2011,Goiania/GO
MUSCULARE  5MG 15CPR,Eurofarma Laboratórios Ltda,212108,100,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
MYCAMINE 50MG CX C/ 1 FRASCO,"ONCO PROD DISTRIBUIDORA DEPRODUTOS HOSPITALARES EONCOLÓGICOS LTDA",21192,12 unidades,11939,591/2011,18/06/2011,Casca - RS
MYTEDOM 10 MG COM. 2 BL X 10,"CRISTÁLIA PRODUTOS QUÍMICOSFARMACÊUTICOS LTDA.",10129285,68 cxs,0443729,447/2011,03/05/2011,Registro - SP
MYTEDOM 5 MG COM. 2 BL X 10,"CRISTÁLIA PRODUTOS QUÍMICOSFARMACÊUTICOS LTDA.",10129287,102 cxs,0443729,447/2011,03/05/2011,Registro - SP
NAOX 5UI INJ DS C/50AMP,"EUROFARMA LABORATÓRIOSLTDA.",205496F,4,25582,807/2011,18/10/2011,"Rodovia Arnaldo JulioMauerberg, 0 - Rural - NovaOdessa / SP"
"NARCAN 0,4 MG/ML SOL INJ - 10AMP X 1 ML","CRISTÁLIA PRODUTOS QUÍMICOSFARMACÊUTICOS LTDA.",10096813,20 cxs,0443976,447/2011,03/05/2011,Registro - SP
"NARCAN 0,4 MG/ML SOL INJ - 10AMP X 1 ML","CRISTÁLIA PRODUTOS QUÍMICOSFARMACÊUTICOS LTDA.",10096813,1 cx,0443995,447/2011,03/05/2011,Registro - SP
NASIVIN GOTAS 10ML,MERCK S.A.,BR30271A,24,186483,308-4279/2011,03/10/2011,"AV. JOAO PESSOA -FORTALEZA"
"",,,Quantidade Roubada/,,,Data do roubo,
Medicamento,Empresa,No lote,Furtada/Extraviada,No Nota Fiscal,No Boletim de Ocorrência,ou extravio,Local do roubo ou extravio
"",LABORATORIOS SERVIER DO,,,,,,
NATRILIX SR,BRASIL LTDA,3000352,528,18293,6490/2010,08/11/2010,São Paulo - SP
NAUSEDRON 8 MG COM. REV. - 1 BL,CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
X 10,FARMACÊUTICOS LTDA.,11010048,31 cxs,0443729,447/2011,03/05/2011,Registro - SP
NAXOGIN 500 MG X 8 COMP,LABORATÓRIOS PFIZER LTDA.,BH0096,,186710,2011/09910.0-000145,,Jabotão dos Guararapes-PE
"",MULTILAB IND E COM DE,,,,,,
"",PRODUTOS FARMACÊUTICOS,,,,,,
NEBACIDERME POMADA,LTDA,KD0385,01 CX(300UN),30209,2112/2011,01/06/2011,São Paulo - SP
"",CIMED INDÚSTRIA DE,,,,,,
NEBACIMED POM BG 15 G,MEDICAMENTOS LTDA,1103200,24,159049,970929,30/08/2011,Carté-MG
"",CIMED INDÚSTRIA DE,,,,,,
NEBACIMED POM BG 15 G,MEDICAMENTOS LTDA,1103200,12,158922,970929,30/08/2011,Carté-MG
"",CIMED INDÚSTRIA DE,,,,,,
NEBACIMED POM BG 15G,MEDICAMENTOS LTDA,11C0100,200,132456,F410223030850-2011,23/03/2011,João Monlevade - MG
"NEOCAÍNA 0,5% ISOBÁRICA SOL INJ",CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
- 40 EST X 1 AMP X 4 ML,FARMACÊUTICOS LTDA.,10128953,1 cx,0443223,447/2011,03/05/2011,Registro - SP
"NEOCAÍNA 0,5% PESADA SOL INJ-",CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
40 EST X 1 AMP X 4 ML,FARMACÊUTICOS LTDA.,11020878,2 cxs,0443223,447/2011,03/05/2011,Registro - SP
"NEOCAÍNA 0,5% PESADA SOL INJ-",CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
40 EST X 1 AMP X 4 ML,FARMACÊUTICOS LTDA.,11020878,3 cxs,0443225,447/2011,03/05/2011,Registro - SP
"NEOCAÍNA 0,5% PESADA SOL INJ-",CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
40 EST X 1 AMP X 4 ML,FARMACÊUTICOS LTDA.,11020878,48 cxs,0443976,447/2011,03/05/2011,Registro - SP
"NEOCAÍNA 0,5% PESADA SOL INJ-",CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
40 EST X 1 AMP X 4 ML,FARMACÊUTICOS LTDA.,11020878,3 cxs,0443983,447/2011,03/05/2011,Registro - SP
"NEOCAÍNA 0,5% S/V SOL INJ - 10",CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
EST X 1 FA X 20 ML,FARMACÊUTICOS LTDA.,11020834,20 cxs,0443976,447/2011,03/05/2011,Registro - SP
"",CIMED INDÚSTRIA DE,,,,,,
NEOMED POM BG 10 G,MEDICAMENTOS LTDA,1101648,12,158922,970929,30/08/2011,Carté-MG
"",CIMED INDÚSTRIA DE,,,,,,
NEOMED POM. BG 10G,MEDICAMENTOS LTDA,11B0413,200,132167,F410223030850-2011,23/03/2011,João Monlevade - MG
"",,,,,,,Rua Refinaria Gabriel
"",CIMED Indústria de Medicamentos,,,,,,"Passos, 437,"
"",,163488,18,,2011-1380465,21/10/2011,
NEOMICINA + BACITRACINA BG 15,Ltda,,,,,,Petrolândia –
G,,,,,,,Contagem/MG
"",AGILA MARKETING E DISTRIB. DE,,,,,,
NEPECEF 1G CART C/01 FA S/DIL,,7401481,2000,5228,13614603,04/11/2011,CARIACICA - ES
"",PROD. HOSP. LTDA,,,,,,
